10	14.21	100.00	10	10.70	80.00	10	9.78	70.00
20	33.21	100.00	20	23.99	90.00	20	28.97	80.00
30	50.92	100.00	30	27.86	90.00	30	33.95	90.00
40	59.23	100.00	40	28.60	85.00	40	33.21	97.50
50	63.10	100.00	50	36.72	92.00	50	37.64	98.00
60	64.21	100.00	60	39.48	90.00	60	44.65	100.00
70	68.27	100.00	70	41.88	90.00	70	55.54	95.71
80	72.88	100.00	80	47.42	91.25	80	62.92	97.50
90	74.72	100.00	90	46.86	91.11	90	66.24	100.00
100	74.17	100.00	100	47.42	92.00	100	68.08	98.00
110	75.09	100.00	110	49.26	92.73	110	69.74	97.27
120	73.99	100.00	120	51.85	93.33	120	74.17	97.50
130	74.35	100.00	130	53.32	88.46	130	75.28	98.46
140	76.01	100.00	140	56.09	87.86	140	74.54	99.29
150	76.20	100.00	150	54.43	90.00	150	79.52	99.33
160	77.12	100.00	160	54.43	90.00	160	79.70	98.75
170	78.23	100.00	170	54.61	90.00	170	81.55	98.82
180	78.41	100.00	180	55.90	91.11	180	83.21	98.33
190	79.15	100.00	190	55.17	88.95	190	83.03	97.89
200	78.97	100.00	200	55.54	88.50	200	83.03	98.00
210	79.52	100.00	210	59.78	90.00	210	83.39	98.10
220	79.70	100.00	220	59.04	90.91	220	85.06	98.18
230	79.52	100.00	230	61.25	90.43	230	85.06	97.83
240	79.70	100.00	240	63.10	91.25	240	85.61	97.92
250	79.70	100.00	250	60.52	91.20	250	85.24	98.00
260	80.07	100.00	260	61.07	90.38	260	85.61	98.08
270	80.44	100.00	270	62.36	91.48	270	85.98	98.15
280	81.37	100.00	280	64.58	90.71	280	85.79	98.57
290	81.55	100.00	290	66.42	92.07	290	85.42	98.28
300	83.03	100.00	300	66.79	90.33	300	86.72	98.33
310	83.76	100.00	310	67.71	91.29	310	87.08	98.39
320	83.58	100.00	320	65.13	92.19	320	87.27	98.75
330	84.69	100.00	330	65.31	90.30	330	88.19	99.09
340	84.87	100.00	340	64.58	91.76	340	87.82	99.12
350	85.06	100.00	350	63.84	92.86	350	88.19	99.14
360	86.16	100.00	360	63.28	93.33	360	89.11	99.17
370	86.90	100.00	370	64.94	91.35	370	89.11	99.19
380	86.90	100.00	380	65.31	91.05	380	89.85	99.21
390	86.90	100.00	390	64.58	91.79	390	90.59	99.49
400	87.27	100.00	400	64.58	92.00	400	90.77	99.50
410	87.27	100.00	410	65.68	92.20	410	90.04	99.51
420	87.45	100.00	420	67.90	91.43	420	91.14	99.52
430	87.64	100.00	430	67.34	92.33	430	92.07	99.53
440	87.64	100.00	440	67.34	92.05	440	91.88	99.55
450	87.64	100.00	450	67.34	92.00	450	91.70	99.56
460	88.75	100.00	460	68.63	91.52	460	91.88	99.57
470	88.75	100.00	470	67.34	92.13	470	91.70	99.36
480	88.01	100.00	480	68.08	91.67	480	92.62	99.38
490	88.19	100.00	490	68.27	91.63	490	92.25	99.80
500	88.75	100.00	500	66.97	92.00	500	92.25	99.80
510	88.56	100.00	510	69.00	91.76	510	92.44	99.80
520	87.82	100.00	520	69.37	92.69	520	91.88	99.42
530	87.82	100.00	530	65.87	92.83	530	91.14	99.43
540	88.19	100.00	540	69.74	91.30	540	92.25	99.07
550	88.19	100.00	550	70.30	91.27	550	92.25	98.91
560	88.38	100.00	560	68.08	91.96	560	92.25	98.93
570	87.82	100.00	570	68.82	92.11	570	92.25	98.95
580	87.82	100.00	580	70.66	92.07	580	92.44	98.79
590	88.01	100.00	590	70.11	91.69	590	92.44	98.81
600	88.01	100.00	600	71.77	91.50	600	92.62	98.83
610	87.82	100.00	610	71.77	91.31	610	92.80	98.69
620	88.01	100.00	620	71.59	91.77	620	92.99	98.87
630	88.01	100.00	630	73.25	92.06	630	92.99	98.73
640	88.01	100.00	640	73.43	91.88	640	93.36	98.59
650	88.01	100.00	650	73.25	91.23	650	92.99	98.62
660	88.56	100.00	660	72.51	90.91	660	92.99	98.48
670	88.38	100.00	670	72.32	91.49	670	92.80	98.66
680	88.56	100.00	680	73.25	91.18	680	93.17	98.68
690	88.38	100.00	690	71.77	91.45	690	92.99	98.70
700	88.75	100.00	700	72.69	91.00	700	93.17	98.71
710	88.56	100.00	710	71.59	91.27	710	92.80	98.59
720	89.11	100.00	720	71.77	90.97	720	92.62	98.75
730	89.30	100.00	730	72.14	90.68	730	92.25	98.90
740	89.48	100.00	740	72.51	91.08	740	92.80	99.05
750	89.48	100.00	750	72.69	91.60	750	92.80	99.07
760	89.85	100.00	760	73.62	91.97	760	92.62	98.95
770	89.67	100.00	770	73.25	91.82	770	92.80	98.96
780	89.85	100.00	780	73.43	92.05	780	92.44	98.97
790	89.48	100.00	790	74.35	92.15	790	92.62	98.99
800	89.30	100.00	800	72.88	92.00	800	92.62	98.88
810	88.93	100.00	810	74.91	92.47	810	92.80	98.89
820	89.30	100.00	820	72.32	93.54	820	92.80	98.90
830	89.48	100.00	830	71.40	93.13	830	92.99	98.80
840	89.30	100.00	840	72.69	93.33	840	93.17	98.81
850	89.11	100.00	850	72.51	93.29	850	93.17	98.82
860	88.93	100.00	860	72.51	93.37	860	92.99	98.72
870	89.11	100.00	870	75.28	92.87	870	93.17	98.74
880	88.93	100.00	880	76.20	92.95	880	93.17	98.75
890	89.11	100.00	890	74.91	92.13	890	93.36	98.76
900	89.11	100.00	900	74.35	93.11	900	93.36	98.78
910	89.48	100.00	910	73.62	92.75	910	93.36	98.79
920	89.48	100.00	920	73.80	92.17	920	93.54	98.91
930	89.48	100.00	930	72.32	92.58	930	93.54	98.82
940	90.22	100.00	940	74.17	92.77	940	92.99	98.83
950	90.22	100.00	950	71.96	93.05	950	93.17	98.84
960	90.22	100.00	960	72.69	93.02	960	93.17	98.85
970	89.85	100.00	970	74.72	93.20	970	93.17	98.87
980	90.04	100.00	980	75.28	93.27	980	93.17	98.88
990	89.85	100.00	990	75.28	93.43	990	93.36	98.89
1000	90.22	100.00	1000	73.62	93.40	1000	93.54	99.00
1010	90.41	100.00	1010	74.35	92.87	1010	93.36	99.01
1020	90.22	100.00	1020	74.91	92.84	1020	93.17	99.02
1030	90.04	100.00	1030	75.09	92.91	1030	93.36	99.03
1040	90.22	100.00	1040	75.65	93.17	1040	93.73	99.13
1050	90.22	100.00	1050	76.75	93.14	1050	94.10	99.14
