size	desc	Invocations	FitnessCost	AltFitnessCost	MinFitness	MeanFitness	MaxFitness	StdDevFitness	AvgRuntime	Optimizer
80	50%/uniform	100	0.054589	0.046471	9583.0	9855.4	10057.0	98.7	0.01	HillClimber(neighbor=SingleBitFlipper)
80	50%/uniform	100	0.026652	0.023943	8742.0	9516.7	10043.0	333.0	0.00	Annealer(temp=1000.0,cooling=0.1,neighbor=SingleBitFlipper,its=14.000000000000002)
80	50%/uniform	100	0.026260	0.023311	9018.0	9581.9	10063.0	277.8	0.00	Annealer(temp=1000.0,cooling=0.2,neighbor=SingleBitFlipper,its=20.029471813027506)
80	50%/uniform	100	0.030278	0.026881	8740.0	9638.9	10056.0	260.5	0.00	Annealer(temp=1000.0,cooling=0.3,neighbor=SingleBitFlipper,its=26.774850051504778)
80	50%/uniform	100	0.038640	0.033948	9134.0	9764.4	10042.0	170.9	0.00	Annealer(temp=1000.0,cooling=0.4,neighbor=SingleBitFlipper,its=35.181182326248845)
80	50%/uniform	100	0.051101	0.041165	9428.0	9823.0	10057.0	137.4	0.01	Annealer(temp=1000.0,cooling=0.5,neighbor=SingleBitFlipper,its=46.50699332842308)
80	50%/uniform	100	0.111816	0.050772	9581.0	9879.8	10056.0	102.3	0.02	Annealer(temp=1000.0,cooling=0.6,neighbor=SingleBitFlipper,its=63.106057727213866)
80	50%/uniform	100	0.278305	0.053767	9641.0	9895.1	10057.0	103.8	0.05	Annealer(temp=1000.0,cooling=0.7,neighbor=SingleBitFlipper,its=90.37974730138035)
80	50%/uniform	100	0.667880	0.058461	9567.0	9897.7	10057.0	95.2	0.10	Annealer(temp=1000.0,cooling=0.8,neighbor=SingleBitFlipper,its=144.4639162192264)
80	50%/uniform	100	1.744532	0.056975	9650.0	9909.0	10056.0	94.6	0.23	Annealer(temp=1000.0,cooling=0.9,neighbor=SingleBitFlipper,its=305.96083457495973)
80	50%/uniform	100	21.223772	0.245192	9757.0	10007.9	10063.0	52.9	3.83	Annealer(temp=1000.0,cooling=0.99,neighbor=SingleBitFlipper,its=3207.4740358737195)
80	50%/uniform	100	13.177093	3.876427	9798.0	10005.1	10063.0	57.5	2.50	Evolver(size=100,keep=50,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
80	50%/uniform	100	16.193767	6.864662	9797.0	10012.0	10063.0	59.5	2.98	Evolver(size=100,keep=50,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
80	50%/uniform	100	5.131204	2.918042	9776.0	9987.5	10063.0	68.3	0.92	Evolver(size=200,keep=50,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
80	50%/uniform	100	6.190399	3.983227	9832.0	10001.9	10063.0	59.1	1.18	Evolver(size=200,keep=50,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
80	50%/uniform	100	10.193130	6.622705	9805.0	10001.1	10063.0	62.0	2.05	Evolver(size=200,keep=100,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
80	50%/uniform	100	8.683384	4.931208	9799.0	10015.0	10063.0	54.1	1.73	Evolver(size=200,keep=100,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
80	50%/uniform	100	9.039747	4.886004	9850.0	10007.4	10063.0	51.9	1.70	Evolver(size=400,keep=100,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
80	50%/uniform	100	11.168046	7.048328	9830.0	10007.5	10063.0	53.7	2.61	Evolver(size=400,keep=100,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
80	50%/uniform	100	12.015278	7.474718	9905.0	10019.9	10063.0	45.5	2.51	Evolver(size=400,keep=200,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
80	50%/uniform	100	15.410630	10.549390	9831.0	10018.0	10063.0	44.9	3.39	Evolver(size=400,keep=200,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
80	50%/uniform	100	2.645709	1.625971	9607.0	9904.5	10063.0	95.4	0.88	Mimicker(size=100,keep=2)
80	50%/uniform	100	2.731947	1.711384	9662.0	9896.5	10049.0	97.9	0.84	Mimicker(size=100,keep=3)
80	50%/uniform	100	2.855261	1.834796	9692.0	9897.4	10057.0	96.8	0.92	Mimicker(size=100,keep=4)
80	50%/uniform	100	2.717373	1.698180	9648.0	9909.8	10057.0	91.6	1.02	Mimicker(size=100,keep=5)
80	50%/uniform	100	3.992882	1.964906	9653.0	9911.4	10063.0	94.0	1.06	Mimicker(size=200,keep=2)
80	50%/uniform	100	3.982858	1.952341	9636.0	9899.0	10063.0	98.9	1.01	Mimicker(size=200,keep=3)
80	50%/uniform	100	4.594424	2.560863	9677.0	9884.1	10049.0	99.4	1.08	Mimicker(size=200,keep=4)
80	50%/uniform	100	4.695642	2.666235	9666.0	9904.4	10063.0	88.1	1.28	Mimicker(size=200,keep=5)
80	50%/uniform	100	3.975757	1.945341	9700.0	9899.4	10063.0	91.4	1.05	Mimicker(size=200,keep=2)
80	50%/uniform	100	4.459442	2.430024	9621.0	9904.3	10063.0	95.0	1.10	Mimicker(size=200,keep=3)
80	50%/uniform	100	4.343809	2.315034	9650.0	9907.5	10057.0	97.6	1.26	Mimicker(size=200,keep=4)
80	50%/uniform	100	4.737070	2.707998	9657.0	9906.0	10063.0	88.6	1.09	Mimicker(size=200,keep=5)
80	50%/uniform	100	5.650129	3.621066	9666.0	9906.1	10049.0	96.8	1.23	Mimicker(size=200,keep=10)
80	full/uniform	100	0.032651	0.028205	17731.0	17990.4	18187.0	103.1	0.00	HillClimber(neighbor=SingleBitFlipper)
80	full/uniform	100	0.015809	0.014232	16946.0	17665.6	18115.0	320.2	0.00	Annealer(temp=1000.0,cooling=0.1,neighbor=SingleBitFlipper,its=14.000000000000002)
80	full/uniform	100	0.016715	0.015065	16969.0	17736.4	18180.0	241.9	0.00	Annealer(temp=1000.0,cooling=0.2,neighbor=SingleBitFlipper,its=20.029471813027506)
80	full/uniform	100	0.018354	0.016361	17346.0	17799.7	18192.0	204.0	0.00	Annealer(temp=1000.0,cooling=0.3,neighbor=SingleBitFlipper,its=26.774850051504778)
80	full/uniform	100	0.024935	0.022257	17192.0	17907.1	18192.0	168.2	0.00	Annealer(temp=1000.0,cooling=0.4,neighbor=SingleBitFlipper,its=35.181182326248845)
80	full/uniform	100	0.028099	0.022477	17264.0	17918.0	18181.0	148.0	0.00	Annealer(temp=1000.0,cooling=0.5,neighbor=SingleBitFlipper,its=46.50699332842308)
80	full/uniform	100	0.061576	0.029126	17743.0	17986.0	18181.0	94.0	0.01	Annealer(temp=1000.0,cooling=0.6,neighbor=SingleBitFlipper,its=63.106057727213866)
80	full/uniform	100	0.162858	0.030657	17679.0	17984.4	18192.0	114.1	0.02	Annealer(temp=1000.0,cooling=0.7,neighbor=SingleBitFlipper,its=90.37974730138035)
80	full/uniform	100	0.372330	0.028930	17663.0	17982.9	18181.0	109.2	0.06	Annealer(temp=1000.0,cooling=0.8,neighbor=SingleBitFlipper,its=144.4639162192264)
80	full/uniform	100	1.001295	0.032310	17692.0	17988.0	18192.0	107.7	0.16	Annealer(temp=1000.0,cooling=0.9,neighbor=SingleBitFlipper,its=305.96083457495973)
80	full/uniform	100	11.612136	0.164353	17865.0	18138.6	18192.0	69.1	1.92	Annealer(temp=1000.0,cooling=0.99,neighbor=SingleBitFlipper,its=3207.4740358737195)
80	full/uniform	100	9.491905	3.023697	17961.0	18138.7	18192.0	68.1	1.85	Evolver(size=100,keep=50,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
80	full/uniform	100	9.287336	3.886396	17917.0	18138.1	18192.0	72.5	1.70	Evolver(size=100,keep=50,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
80	full/uniform	100	3.611897	2.229843	17911.0	18129.5	18192.0	71.7	0.68	Evolver(size=200,keep=50,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
80	full/uniform	100	3.624425	2.390231	17940.0	18117.1	18192.0	76.8	0.65	Evolver(size=200,keep=50,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
80	full/uniform	100	7.314893	4.470862	17960.0	18148.2	18192.0	66.8	1.31	Evolver(size=200,keep=100,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
80	full/uniform	100	5.666752	2.941828	17857.0	18137.0	18192.0	76.1	1.07	Evolver(size=200,keep=100,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
80	full/uniform	100	5.601401	3.243102	17976.0	18141.9	18192.0	65.1	1.12	Evolver(size=400,keep=100,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
80	full/uniform	100	6.703595	4.359596	17885.0	18148.5	18192.0	67.2	1.25	Evolver(size=400,keep=100,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
80	full/uniform	100	7.398405	4.367181	17919.0	18168.2	18192.0	48.9	1.47	Evolver(size=400,keep=200,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
80	full/uniform	100	9.439019	6.382890	17904.0	18135.4	18192.0	73.6	2.12	Evolver(size=400,keep=200,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
80	full/uniform	100	1.429608	0.868669	17722.0	18005.5	18159.0	93.7	0.84	Mimicker(size=100,keep=2)
80	full/uniform	100	1.552828	0.991470	17704.0	17992.1	18192.0	100.4	0.89	Mimicker(size=100,keep=3)
80	full/uniform	100	1.529062	0.968288	17667.0	18010.8	18192.0	100.6	0.85	Mimicker(size=100,keep=4)
80	full/uniform	100	1.568855	1.007527	17691.0	17993.1	18192.0	118.9	0.89	Mimicker(size=100,keep=5)
80	full/uniform	100	2.284809	1.168525	17757.0	18006.2	18181.0	91.4	1.01	Mimicker(size=200,keep=2)
80	full/uniform	100	2.173611	1.057049	17724.0	18001.7	18187.0	111.4	0.94	Mimicker(size=200,keep=3)
80	full/uniform	100	2.438966	1.321661	17820.0	17989.7	18187.0	85.2	1.02	Mimicker(size=200,keep=4)
80	full/uniform	100	2.556532	1.440630	17730.0	18012.3	18187.0	101.4	1.09	Mimicker(size=200,keep=5)
80	full/uniform	100	2.181991	1.065826	17762.0	18008.1	18182.0	101.1	0.90	Mimicker(size=200,keep=2)
80	full/uniform	100	2.282771	1.165737	17789.0	17994.1	18192.0	105.8	1.03	Mimicker(size=200,keep=3)
80	full/uniform	100	2.529976	1.412693	17716.0	17990.1	18187.0	105.5	1.10	Mimicker(size=200,keep=4)
80	full/uniform	100	2.521270	1.405269	17751.0	18010.7	18187.0	108.2	1.14	Mimicker(size=200,keep=5)
80	full/uniform	100	3.042593	1.925020	17698.0	17985.4	18192.0	100.8	1.39	Mimicker(size=200,keep=10)
80	somewhat	100	0.074911	0.063236	6589.0	6852.1	7026.0	82.8	0.01	HillClimber(neighbor=SingleBitFlipper)
80	somewhat	100	0.037158	0.032656	5695.0	6560.3	7019.0	313.7	0.00	Annealer(temp=1000.0,cooling=0.1,neighbor=SingleBitFlipper,its=14.000000000000002)
80	somewhat	100	0.036502	0.032383	5904.0	6597.9	7032.0	246.3	0.00	Annealer(temp=1000.0,cooling=0.2,neighbor=SingleBitFlipper,its=20.029471813027506)
80	somewhat	100	0.040103	0.035434	6073.0	6664.0	7013.0	196.2	0.00	Annealer(temp=1000.0,cooling=0.3,neighbor=SingleBitFlipper,its=26.774850051504778)
80	somewhat	100	0.056397	0.048092	6424.0	6778.0	6984.0	122.6	0.00	Annealer(temp=1000.0,cooling=0.4,neighbor=SingleBitFlipper,its=35.181182326248845)
80	somewhat	100	0.070682	0.054590	6561.0	6807.8	6995.0	99.3	0.00	Annealer(temp=1000.0,cooling=0.5,neighbor=SingleBitFlipper,its=46.50699332842308)
80	somewhat	100	0.174585	0.065531	6684.0	6852.1	7033.0	73.6	0.02	Annealer(temp=1000.0,cooling=0.6,neighbor=SingleBitFlipper,its=63.106057727213866)
80	somewhat	100	0.417840	0.072036	6724.0	6873.4	7011.0	63.5	0.04	Annealer(temp=1000.0,cooling=0.7,neighbor=SingleBitFlipper,its=90.37974730138035)
80	somewhat	100	1.000555	0.065701	6662.0	6868.9	7032.0	84.0	0.10	Annealer(temp=1000.0,cooling=0.8,neighbor=SingleBitFlipper,its=144.4639162192264)
80	somewhat	100	2.537093	0.072814	6635.0	6863.4	7033.0	72.6	0.26	Annealer(temp=1000.0,cooling=0.9,neighbor=SingleBitFlipper,its=305.96083457495973)
80	somewhat	100	29.402379	0.344948	6848.0	6957.9	7044.0	53.0	3.14	Annealer(temp=1000.0,cooling=0.99,neighbor=SingleBitFlipper,its=3207.4740358737195)
80	somewhat	100	11.510035	4.784543	6855.0	6958.5	7044.0	48.2	1.45	Evolver(size=100,keep=50,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
80	somewhat	100	16.115576	6.518872	6829.0	6952.0	7044.0	51.3	2.08	Evolver(size=100,keep=50,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
80	somewhat	100	7.221488	4.051709	6820.0	6962.0	7044.0	47.6	0.97	Evolver(size=200,keep=50,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
80	somewhat	100	8.793993	5.698936	6823.0	6946.6	7044.0	50.8	0.98	Evolver(size=200,keep=50,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
80	somewhat	100	12.647831	8.139456	6820.0	6939.5	7044.0	54.7	1.47	Evolver(size=200,keep=100,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
80	somewhat	100	11.097655	6.250027	6801.0	6960.9	7044.0	51.2	1.34	Evolver(size=200,keep=100,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
80	somewhat	100	12.536481	6.740303	6867.0	6969.4	7044.0	41.8	1.51	Evolver(size=400,keep=100,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
80	somewhat	100	14.847921	8.954310	6827.0	6954.0	7044.0	52.3	1.72	Evolver(size=400,keep=100,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
80	somewhat	100	15.949660	9.359684	6866.0	6963.9	7044.0	41.8	2.09	Evolver(size=400,keep=200,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
80	somewhat	100	19.944385	13.393696	6822.0	6951.3	7044.0	51.9	2.38	Evolver(size=400,keep=200,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
80	somewhat	100	3.434011	1.968614	6726.0	6892.3	7044.0	73.6	0.76	Mimicker(size=100,keep=2)
80	somewhat	100	3.435939	1.967275	6707.0	6877.0	7044.0	67.8	0.73	Mimicker(size=100,keep=3)
80	somewhat	100	3.910712	2.443003	6717.0	6881.5	7032.0	62.2	0.90	Mimicker(size=100,keep=4)
80	somewhat	100	3.803984	2.334981	6725.0	6875.4	7033.0	73.1	0.76	Mimicker(size=100,keep=5)
80	somewhat	100	5.437298	2.519510	6742.0	6888.8	7044.0	65.2	0.98	Mimicker(size=200,keep=2)
80	somewhat	100	6.061904	3.139237	6725.0	6877.3	7026.0	64.2	1.08	Mimicker(size=200,keep=3)
80	somewhat	100	6.409038	3.482938	6670.0	6869.2	7019.0	76.2	1.04	Mimicker(size=200,keep=4)
80	somewhat	100	5.996643	3.071879	6653.0	6872.3	7031.0	70.7	1.02	Mimicker(size=200,keep=5)
80	somewhat	100	5.360268	2.443750	6727.0	6891.8	7033.0	66.5	0.99	Mimicker(size=200,keep=2)
80	somewhat	100	5.573376	2.652013	6659.0	6880.3	7044.0	74.0	0.97	Mimicker(size=200,keep=3)
80	somewhat	100	6.589484	3.670166	6755.0	6885.2	7026.0	65.0	1.19	Mimicker(size=200,keep=4)
80	somewhat	100	6.151403	3.233695	6673.0	6889.0	7033.0	68.9	0.99	Mimicker(size=200,keep=5)
80	somewhat	100	7.284130	4.360655	6666.0	6875.4	7010.0	68.3	1.57	Mimicker(size=200,keep=10)
